월,일,전력소비량(kWh)
6,1,4647878.621667
6,2,5384107.165
6,3,5479510.97
6,4,4903817.0
6,5,4623319.04
6,6,4521770.7
6,7,5155985.355
6,8,5219227.01
6,9,5356234.84
6,10,5391830.05
6,11,4861865.7
6,12,4618889.49
6,13,5386533.24
6,14,5324621.85
6,15,5293786.17
6,16,5422420.315
6,17,5522396.11
6,18,5066565.4
6,19,4923751.33
6,20,5728863.05
6,21,6005255.45
6,22,5981414.47
6,23,6060874.66
6,24,5949065.27
6,25,5353795.68
6,26,5127194.91
6,27,6155235.19
6,28,6295651.26
6,29,6269210.100001
6,30,6157073.859999
7,1,6306381.1
7,2,5577230.04
7,3,5491876.88
7,4,6429573.066667
7,5,6547851.686666
7,6,6677352.536667
7,7,6675072.953333
7,8,6464546.721667
7,9,5615831.146667
7,10,5414742.808333
7,11,6284564.67
7,12,6417306.695
7,13,6317400.551667
7,14,6389189.894999
7,15,6296760.098334
7,16,5503484.643333
7,17,5300576.641667
7,18,6069048.12
7,19,6287293.570833
7,20,6344906.176667
7,21,6147957.1875
7,22,6136342.45
7,23,5396656.52
7,24,5163508.28
7,25,6177213.83875
7,26,6458211.7275
7,27,6435545.60625
7,28,6546731.919167
7,29,6685234.712083
7,30,5732429.577143
7,31,5533618.294286
8,1,6472786.55
8,2,6545871.83125
8,3,6584718.8775
8,4,6691203.383333
8,5,6749187.614167
8,6,5894086.411429
8,7,5774706.978571
8,8,6479767.285
8,9,6572496.593333
8,10,6371430.524167
8,11,6364152.41
8,12,6441627.299166
8,13,5609948.817381
8,14,5460599.93619
8,15,5670333.233334
8,16,6411406.085
8,17,6353152.563333
8,18,6265400.796667
8,19,6352793.28
8,20,5735317.05
8,21,5499741.048333
8,22,6288402.915
8,23,6304223.57
8,24,6064197.063333
